a,b,distance
Bettie Johnson Hall,The Comfy Cow,76.0
Carl E. Abner Memorial,"Skydance Sculpture, Louisville",0.0
Carl E. Abner Memorial,Solar Telescope,81.0
Carl E. Abner Memorial,Musical Notes Sculpture - UOFL Music School,120.0
Triangle Park Fountain,Community Park,231.0
The Cardinal Mascot Statue,U of L GALApalooza Horse,101.0
The Cardinal Mascot Statue,The Red Barn,197.0
The Cardinal Mascot Statue,University of Louisville Clock,191.0
Finger Tips,The Balance of Dreams and Plan,93.0
Finger Tips,George L. Brodshi Hall,127.0
Finger Tips,Community Park,224.0
Main Entrance to University of Louisville,The Thinker,109.0
Main Entrance to University of Louisville,University of Louisville South Entrance,9.0
Main Entrance to University of Louisville,Louis Dembitz Brandeis Historical Marker,34.0
University of Louisville South Entrance,Sackett Hall,81.0
University of Louisville South Entrance,The Thinker,99.0
Natural Sciences Building,University of Louisville South Entrance,171.0
Natural Sciences Building,Engineering Art,95.0
Natural Sciences Building,Tau Beta Pi Statue,90.0
Natural Sciences Building,Eastern Parkway Bridge,217.0
Natural Sciences Building,Gibson Memorial,193.0
Natural Sciences Building,Statue of David Replica,53.0
Natural Sciences Building,Miller Technology Center,91.0
Natural Sciences Building,The Thinker,72.0
The Comfy Cow,Louie Mascot Carving,144.0
The Comfy Cow,Historic Old Louisville,237.0
Louisville Hall,Community Park,23.0
Raphael Nystrand Memorial,Garden Commons at The Cultural Center,0.0
Raphael Nystrand Memorial,Childhood,42.0
"Metal Sculpture, Louisville",Ralph R. Wright Natatorium,243.0
Freedom Park,Historic Old Louisville,93.0
Freedom Park,Louie Mascot Carving,0.0
The Red Barn,University of Louisville Clock,6.0
The Red Barn,Raphael Nystrand Memorial,68.0
The Red Barn,Garden Commons at The Cultural Center,68.0
Historic Old Louisville,Musical Notes Sculpture - UOFL Music School,88.0
Interfaith Center - University Of Louisville,Harold L. Adams Way,72.0
Interfaith Center - University Of Louisville,Volleyball Court,72.0
Engineering Art,Tau Beta Pi Statue,5.0
Engineering Art,Sackett Hall,5.0
University of Louisville Art Fountains,Allen R Hite Art Institute,0.0
Kurz Hall,Bettie Johnson Hall,11.0
Kurz Hall,Louisville Hall,69.0
U of L GALApalooza Horse,Ralph R. Wright Natatorium,27.0
Childhood,Garden Commons at The Cultural Center,42.0
Harold L. Adams Way,Volleyball Court,0.0
Harold L. Adams Way,University of Louisville Clock,75.0
